!SIL 1.0	SIL
<UNK> 1.0	SPN
gayεnu 1.0	g a y ε n u 
gaza 1.0	g a z a 
gazamu 1.0	g a z a m u 
gazin 1.0	g a z i n 
gazεzi 1.0	g a z ε z i 
gaɖagaɖa 1.0	g a ɖ a g a ɖ a 
gadatɔ 1.0	g a d a t ɔ 
gafu 1.0	g a f u 
gaglonu 1.0	g a g l o n u 
gago 1.0	g a g o 
gahεnnu 1.0	g a h ε n n u 
gandido 1.0	g a n d i d o 
ganhumεtɔ 1.0	g a n h u m ε t ɔ 
ganhunutɔ 1.0	g a n h u n u t ɔ 
ganhɔnji 1.0	g a n h ɔ n j i 
ganjεmε 1.0	g a n j ε m ε 
ganjεwu 1.0	g a n j ε w u 
gankpogε 1.0	g a n k p o g ε 
ganmaɖo 1.0	g a n m a ɖ o 
ganzinkpo 1.0	g a n z i n k p o 
ganɖuɖu 1.0	g a n ɖ u ɖ u 
gateaux 1.0	g a t e a u x 
gb 1.0	g b 
gba 1.0	g b a 
gbaa 1.0	g b a a 
gbaan 1.0	g b a a n 
gbada 1.0	g b a d a 
gbadahwe 1.0	g b a d a h w e 
gbadakεnwo 1.0	g b a d a k ε n w o 
gbadamaja 1.0	g b a d a m a j a 
gbadanu 1.0	g b a d a n u 
gbadayε 1.0	g b a d a y ε 
gbade 1.0	g b a d e 
gbadeti 1.0	g b a d e t i 
gbadejɔ 1.0	g b a d e j ɔ 
gbado 1.0	g b a d o 
gbadɔ 1.0	g b a d ɔ 
gbadεndεn 1.0	g b a d ε n d ε n 
gbagba 1.0	g b a g b a 
gbagbagugu 1.0	g b a g b a g u g u 
gbagbaɖa 1.0	g b a g b a ɖ a 
gbagwe 1.0	g b a g w e 
gbajagbaja 1.0	g b a j a g b a j a 
gbakwεgbakwε 1.0	g b a k w ε g b a k w ε 
gbakɔ 1.0	g b a k ɔ 
gbala 1.0	g b a l a 
gban 1.0	g b a n 
gbandaan 1.0	g b a n d a a n 
gbandan 1.0	g b a n d a n 
gbangan 1.0	g b a n g a n 
gbangbe 1.0	g b a n g b e 
gbangbεta 1.0	g b a n g b ε t a 
gbangɔ 1.0	g b a n g ɔ 
gbanjangbanjan 1.0	g b a n j a n g b a n j a n 
gbannana 1.0	g b a n n a n a 
gbannukunatɔn 1.0	g b a n n u k u n a t ɔ n 
gbannukunwe 1.0	g b a n n u k u n w e 
gbannukunɖokpo 1.0	g b a n n u k u n ɖ o k p o 
gbannukunεnε 1.0	g b a n n u k u n ε n ε 
gbantɔn 1.0	g b a n t ɔ n 
gbantɔnnukunatɔn 1.0	g b a n t ɔ n n u k u n a t ɔ n 
gbantɔnnukunwe 1.0	g b a n t ɔ n n u k u n w e 
gbantɔnnukunɖokpo 1.0	g b a n t ɔ n n u k u n ɖ o k p o 
gbantɔnnukunεnε 1.0	g b a n t ɔ n n u k u n ε n ε 
gbantɔɔn 1.0	g b a n t ɔ ɔ n 
gbanu 1.0	g b a n u 
gbatε 1.0	g b a t ε 
gbaun 1.0	g b a u n 
gbawu 1.0	g b a w u 
gbawun 1.0	g b a w u n 
gbawunjo 1.0	g b a w u n j o 
gbawunjonɔ 1.0	g b a w u n j o n ɔ 
gbayi 1.0	g b a y i 
gbagbahun 1.0	g b a g b a h u n 
gbahun 1.0	g b a h u n 
gbakun 1.0	g b a k u n 
gbanusu 1.0	g b a n u s u 
gbavi 1.0	g b a v i 
gbc 1.0	g b c 
gbcta 1.0	g b c t a 
gbcto 1.0	g b c t o 
gbe 1.0	g b e 
gbedeme 1.0	g b e d e m e 
gbede 1.0	g b e d e 
gbedomε 1.0	g b e d o m ε 
gbegbe 1.0	g b e g b e 
gbego 1.0	g b e g o 
gbehan 1.0	g b e h a n 
gbehwan 1.0	g b e h w a n 
gbeje 1.0	g b e j e 
gbeji 1.0	g b e j i 
gbejigbeji 1.0	g b e j i g b e j i 
gbejimanɔ 1.0	g b e j i m a n ɔ 
gbejimanɔnumawutɔ 1.0	g b e j i m a n ɔ n u m a w u t ɔ 
gbejimanɔtɔ 1.0	g b e j i m a n ɔ t ɔ 
gbejininɔ 1.0	g b e j i n i n ɔ 
gbejinɔtɔ 1.0	g b e j i n ɔ t ɔ 
gbekan 1.0	g b e k a n 
gbekpligbekpli 1.0	g b e k p l i g b e k p l i 
gbelu 1.0	g b e l u 
gbemanɔkpɔ 1.0	g b e m a n ɔ k p ɔ 
gbenyɔvi 1.0	g b e n y ɔ v i 
gbenina 1.0	g b e n i n a 
gbenɔkpɔ 1.0	g b e n ɔ k p ɔ 
gbesetɔ 1.0	g b e s e t ɔ 
gbesisɔ 1.0	g b e s i s ɔ 
gbesugbesɔ 1.0	g b e s u g b e s ɔ 
gbesɔ 1.0	g b e s ɔ 
gbeta 1.0	g b e t a 
gbetakεn 1.0	g b e t a k ε n 
gbeto 1.0	g b e t o 
gbetowikukon 1.0	g b e t o w i k u k o n 
gbetεgbe 1.0	g b e t ε g b e 
gbewiwa 1.0	g b e w i w a 
gbexo 1.0	g b e x o 
gbeya 1.0	g b e y a 
gbeyiɖɔ 1.0	g b e y i ɖ ɔ 
gbeyiɖɔmawutɔnnyijεtɔ 1.0	g b e y i ɖ ɔ m a w u t ɔ n n y i j ε t ɔ 
gbeyiɖɔnyijεtɔ 1.0	g b e y i ɖ ɔ n y i j ε t ɔ 
gbezinzan 1.0	g b e z i n z a n 
gbeɖe 1.0	g b e ɖ e 
gbeɖokpokwε 1.0	g b e ɖ o k p o k w ε 
gbeɖokpɔ 1.0	g b e ɖ o k p ɔ 
gbi 1.0	g b i 
gbidi 1.0	g b i d i 
gbidigbidi 1.0	g b i d i g b i d i 
gbidii 1.0	g b i d i i 
gbigba 1.0	g b i g b a 
gbigbo 1.0	g b i g b o 
gbigbe 1.0	g b i g b e 
gbigbɔ 1.0	g b i g b ɔ 
gbigbɔjε 1.0	g b i g b ɔ j ε 
gbigbε 1.0	g b i g b ε 
gbijɔ 1.0	g b i j ɔ 
gbin 1.0	g b i n 
gbingbɔn 1.0	g b i n g b ɔ n 
gbiwun 1.0	g b i w u n 
gbla 1.0	g b l a 
gblagada 1.0	g b l a g a d a 
gblagadaa 1.0	g b l a g a d a a 
gblagbla 1.0	g b l a g b l a 
gblaja 1.0	g b l a j a 
gblala 1.0	g b l a l a 
gblami 1.0	g b l a m i 
gblamε 1.0	g b l a m ε 
gblawun 1.0	g b l a w u n 
gblayaa 1.0	g b l a y a a 
gble 1.0	g b l e 
gbli 1.0	g b l i 
gbligbli 1.0	g b l i g b l i 
gblo 1.0	g b l o 
gbloboetwe 1.0	g b l o b o e t w e 
gblogblo 1.0	g b l o g b l o 
gblowunkan 1.0	g b l o w u n k a n 
gblulu 1.0	g b l u l u 
gbluwun 1.0	g b l u w u n 
gblegble 1.0	g b l e g b l e 
gblewu 1.0	g b l e w u 
gbligbε 1.0	g b l i g b ε 
gblolo 1.0	g b l o l o 
gblɔ 1.0	g b l ɔ 
gblɔlɔɔ 1.0	g b l ɔ l ɔ ɔ 
gblɔn 1.0	g b l ɔ n 
gblεlε 1.0	g b l ε l ε 
gblεlεε 1.0	g b l ε l ε ε 
gbo 1.0	g b o 
gboa 1.0	g b o a 
gbobli 1.0	g b o b l i 
gbodje 1.0	g b o d j e 
gbodoklowe 1.0	g b o d o k l o w e 
gbogbo 1.0	g b o g b o 
gbogbogbo 1.0	g b o g b o g b o 
gboje 1.0	g b o j e 
gbojehwe 1.0	g b o j e h w e 
gbojlaka 1.0	g b o j l a k a 
gbojɔ 1.0	g b o j ɔ 
gbokɔ 1.0	g b o k ɔ 
gbon 1.0	g b o n 
gboo 1.0	g b o o 
gbovi 1.0	g b o v i 
gbowele 1.0	g b o w e l e 
gbowun 1.0	g b o w u n 
gbowεlε 1.0	g b o w ε l ε 
gbt 1.0	g b t 
gbu 1.0	g b u 
gbungbɔn 1.0	g b u n g b ɔ n 
gbanwungbanwun 1.0	g b a n w u n g b a n w u n 
gbenyatɔ 1.0	g b e n y a t ɔ 
gbenya 1.0	g b e n y a 
gbetɔ 1.0	g b e t ɔ 
gbexa 1.0	g b e x a 
gbexatεn 1.0	g b e x a t ε n 
gbedido 1.0	g b e d i d o 
gbele 1.0	g b e l e 
gbewe 1.0	g b e w e 
gbeɔ 1.0	g b e ɔ 
gbegbo 1.0	g b e g b o 
gbehanmu 1.0	g b e h a n m u 
gbejεtɔ 1.0	g b e j ε t ɔ 
gbekanlin 1.0	g b e k a n l i n 
gbelan 1.0	g b e l a n 
gbetotlo 1.0	g b e t o t l o 
gbevun 1.0	g b e v u n 
gbeyε 1.0	g b e y ε 
gbɔ 1.0	g b ɔ 
gbɔbo 1.0	g b ɔ b o 
gbɔdonumε 1.0	g b ɔ d o n u m ε 
gbɔdonumεtɔ 1.0	g b ɔ d o n u m ε t ɔ 
gbɔjɔ 1.0	g b ɔ j ɔ 
gbɔjε 1.0	g b ɔ j ε 
gbɔjεtεn 1.0	g b ɔ j ε t ε n 
gbɔjεxwe 1.0	g b ɔ j ε x w e 
gbɔjεzan 1.0	g b ɔ j ε z a n 
gbɔjεzangbasa 1.0	g b ɔ j ε z a n g b a s a 
gbɔjεzansεn 1.0	g b ɔ j ε z a n s ε n 
gbɔn 1.0	g b ɔ n 
gbɔnvε 1.0	g b ɔ n v ε 
gbɔsi 1.0	g b ɔ s i 
gbɔsu 1.0	g b ɔ s u 
gbɔvi 1.0	g b ɔ v i 
gbɔɔn 1.0	g b ɔ ɔ n 
gbɔfun 1.0	g b ɔ f u n 
gbɔfunkpatεn 1.0	g b ɔ f u n k p a t ε n 
gbɔfunvɔ 1.0	g b ɔ f u n v ɔ 
gbɔhwan 1.0	g b ɔ h w a n 
gbɔkpo 1.0	g b ɔ k p o 
gbɔnyitɔ 1.0	g b ɔ n y i t ɔ 
gbɔnyu 1.0	g b ɔ n y u 
gbɔsa 1.0	g b ɔ s a 
gbε 1.0	g b ε 
gbεdonanɔ 1.0	g b ε d o n a n ɔ 
gbεdonɔ 1.0	g b ε d o n ɔ 
gbεgɔnu 1.0	g b ε g ɔ n u 
gbεkplekple 1.0	g b ε k p l e k p l e 
gbεta 1.0	g b ε t a 
gbεvi 1.0	g b ε v i 
gbεgbε 1.0	g b ε g b ε 
gbεhεn 1.0	g b ε h ε n 
gbεblawunanɔ 1.0	g b ε b l a w u n a n ɔ 
gbεdomε 1.0	g b ε d o m ε 
gbεdan 1.0	g b ε d a n 
gbεdε 1.0	g b ε d ε 
gbεdεdε 1.0	g b ε d ε d ε 
gbεdεε 1.0	g b ε d ε ε 
gbεgbe 1.0	g b ε g b e 
gbεgleta 1.0	g b ε g l e t a 
gbεjɔtεn 1.0	g b ε j ɔ t ε n 
gbεjε 1.0	g b ε j ε 
gbεkan 1.0	g b ε k a n 
gbεli 1.0	g b ε l i 
gbεligbo 1.0	g b ε l i g b o 
gbεmε 1.0	g b ε m ε 
gbεmεvi 1.0	g b ε m ε v i 
gbεmεwe 1.0	g b ε m ε w e 
gbεn 1.0	g b ε n 
gbεnde 1.0	g b ε n d e 
gbεndekpekan 1.0	g b ε n d e k p e k a n 
gbεnu 1.0	g b ε n u 
gbεnyanyazantɔ 1.0	g b ε n y a n y a z a n t ɔ 
gbεnamεtɔ 1.0	g b ε n a m ε t ɔ 
gbεnɔ 1.0	g b ε n ɔ 
gbεnɔtɔ 1.0	g b ε n ɔ t ɔ 
gbεtɔ 1.0	g b ε t ɔ 
gbεtɔvi 1.0	g b ε t ɔ v i 
gbεtɔmi 1.0	g b ε t ɔ m i 
gbεvo 1.0	g b ε v o 
gbεvihan 1.0	g b ε v i h a n 
gbεvivi 1.0	g b ε v i v i 
gbεwun 1.0	g b ε w u n 
gbεwunda 1.0	g b ε w u n d a 
gbεwe 1.0	g b ε w e 
gbεwema 1.0	g b ε w e m a 
gbεwuvε 1.0	g b ε w u v ε 
gbεxo 1.0	g b ε x o 
gbεxɔnumεtɔ 1.0	g b ε x ɔ n u m ε t ɔ 
gbεya 1.0	g b ε y a 
gbεzan 1.0	g b ε z a n 
gbεzinzan 1.0	g b ε z i n z a n 
gbεɔmε 1.0	g b ε ɔ m ε 
gbεɖe 1.0	g b ε ɖ e 
gbεɖegbεɖe 1.0	g b ε ɖ e g b ε ɖ e 
gbεɖunu 1.0	g b ε ɖ u n u 
gbεɖuto 1.0	g b ε ɖ u t o 
gbεɖutɔ 1.0	g b ε ɖ u t ɔ 
gbεɖuɖu 1.0	g b ε ɖ u ɖ u 
gbεɖotɔ 1.0	g b ε ɖ o t ɔ 
gbεhan 1.0	g b ε h a n 
gdadogbado 1.0	g d a d o g b a d o 
ge 1.0	g e 
gebali 1.0	g e b a l i 
gebalinu 1.0	g e b a l i n u 
gecani 1.0	g e c a n i 
gedaliya 1.0	g e d a l i y a 
gedaliyahu 1.0	g e d a l i y a h u 
gedaliyasi 1.0	g e d a l i y a s i 
gedegede 1.0	g e d e g e d e 
gedela 1.0	g e d e l a 
gedelanu 1.0	g e d e l a n u 
gedelotayimu 1.0	g e d e l o t a y i m u 
gedelɔti 1.0	g e d e l ɔ t i 
gedɔɔ 1.0	g e d ɔ ɔ 
gedɔɔnu 1.0	g e d ɔ ɔ n u 
gee 1.0	g e e 
gege 1.0	g e g e 
gegelinu 1.0	g e g e l i n u 
gehazii 1.0	g e h a z i i 
gekpla 1.0	g e k p l a 
gela 1.0	g e l a 
gele 1.0	g e l e 
gelesi 1.0	g e l e s i 
geli 1.0	g e l i 
gelilɔti 1.0	g e l i l ɔ t i 
gelaa 1.0	g e l a a 
gemali 1.0	g e m a l i 
gemaliya 1.0	g e m a l i y a 
gemaliyahu 1.0	g e m a l i y a h u 
genu 1.0	g e n u 
genuvati 1.0	g e n u v a t i 
gesi 1.0	g e s i 
gevalunu 1.0	g e v a l u n u 
gevimunu 1.0	g e v i m u n u 
gewungewun 1.0	g e w u n g e w u n 
gewuyεli 1.0	g e w u y ε l i 
geze 1.0	g e z e 
geɖee 1.0	g e ɖ e e 
gi 1.0	g i 
gibetɔni 1.0	g i b e t ɔ n i 
gibaa 1.0	g i b a a 
gicipa 1.0	g i c i p a 
gidaluti 1.0	g i d a l u t i 
gideoni 1.0	g i d e o n i 
gidi 1.0	g i d i 
gidigbaja 1.0	g i d i g b a j a 
gidigidi 1.0	g i d i g i d i 
gidɔmu 1.0	g i d ɔ m u 
gidεli 1.0	g i d ε l i 
giigaciti 1.0	g i i g a c i t i 
giiziti 1.0	g i i z i t i 
gilalayi 1.0	g i l a l a y i 
gilubowa 1.0	g i l u b o w a 
gilugalu 1.0	g i l u g a l u 
giloo 1.0	g i l o o 
giloonu 1.0	g i l o o n u 
gimuzo 1.0	g i m u z o 
gin 1.0	g i n 
gingan 1.0	g i n g a n 
gingin 1.0	g i n g i n 
ginnyaa 1.0	g i n n y a a 
ginnεtɔyi 1.0	g i n n ε t ɔ y i 
ginati 1.0	g i n a t i 
gitayimu 1.0	g i t a y i m u 
giveya 1.0	g i v e y a 
giveyaeloyimu 1.0	g i v e y a e l o y i m u 
giveyanu 1.0	g i v e y a n u 
giveyatiamuma 1.0	g i v e y a t i a m u m a 
giwun 1.0	g i w u n 
gixɔni 1.0	g i x ɔ n i 
giyaxi 1.0	g i y a x i 
gizɔɔnnu 1.0	g i z ɔ ɔ n n u 
gla 1.0	g l a 
glaa 1.0	g l a a 
gladi 1.0	g l a d i 
glagada 1.0	g l a g a d a 
glagla 1.0	g l a g l a 
glala 1.0	g l a l a 
glawun 1.0	g l a w u n 
glamu 1.0	g l a m u 
gle 1.0	g l e 
glecɔtɔ 1.0	g l e c ɔ t ɔ 
glegbe 1.0	g l e g b e 
glegbedo 1.0	g l e g b e d o 
glegbenu 1.0	g l e g b e n u 
glelilε 1.0	g l e l i l ε 
glenadi 1.0	g l e n a d i 
glenadigbo 1.0	g l e n a d i g b o 
glenaditin 1.0	g l e n a d i t i n 
glenɔ 1.0	g l e n ɔ 
glesi 1.0	g l e s i 
gleta 1.0	g l e t a 
gletoxo 1.0	g l e t o x o 
gletoxogan 1.0	g l e t o x o g a n 
glexwe 1.0	g l e x w e 
glexwenu 1.0	g l e x w e n u 
glezɔ 1.0	g l e z ɔ 
gli 1.0	g l i 
gligli 1.0	g l i g l i 
glii 1.0	g l i i 
glijaa 1.0	g l i j a a 
glin 1.0	g l i n 
gliwun 1.0	g l i w u n 
glo 1.0	g l o 
glogloe 1.0	g l o g l o e 
glojo 1.0	g l o j o 
glolo 1.0	g l o l o 
glon 1.0	g l o n 
glotoo 1.0	g l o t o o 
glele 1.0	g l e l e 
glenoukoun 1.0	g l e n o u k o u n 
glinglin 1.0	g l i n g l i n 
glɔ 1.0	g l ɔ 
glɔn 1.0	g l ɔ n 
glɔzɔn 1.0	g l ɔ z ɔ n 
glεsi 1.0	g l ε s i 
glεsigbe 1.0	g l ε s i g b e 
glεsinu 1.0	g l ε s i n u 
glεjεglεjε 1.0	g l ε j ε g l ε j ε 
glεnzin 1.0	g l ε n z i n 
glεwun 1.0	g l ε w u n 
gni 1.0	g n i 
gnignon 1.0	g n i g n o n 
gnin 1.0	g n i n 
gnon 1.0	g n o n 
go 1.0	g o 
goclokponoce 1.0	g o c l o k p o n o c e 
gocεni 1.0	g o c ε n i 
gode 1.0	g o d e 
godogodo 1.0	g o d o g o d o 
godwe 1.0	g o d w e 
godwee 1.0	g o d w e e 
gofεεtin 1.0	g o f ε ε t i n 
gogo 1.0	g o g o 
gogogo 1.0	g o g o g o 
gogwe 1.0	g o g w e 
gojogojo 1.0	g o j o g o j o 
gokle 1.0	g o k l e 
goli 1.0	g o l i 
goliyati 1.0	g o l i y a t i 
golyo 1.0	g o l y o 
golani 1.0	g o l a n i 
golεnuatadi 1.0	g o l ε n u a t a d i 
gomɔɔ 1.0	g o m ɔ ɔ 
gomɔɔnu 1.0	g o m ɔ ɔ n u 
gomεε 1.0	g o m ε ε 
gomε 1.0	g o m ε 
gon 1.0	g o n 
gonce 1.0	g o n c e 
goo 1.0	g o o 
gooyi 1.0	g o o y i 
gosin 1.0	g o s i n 
gossin 1.0	g o s s i n 
goto 1.0	g o t o 
gotin 1.0	g o t i n 
govi 1.0	g o v i 
gowa 1.0	g o w a 
gowe 1.0	g o w e 
gowungo 1.0	g o w u n g o 
gowungowun 1.0	g o w u n g o w u n 
goxo 1.0	g o x o 
goxɔ 1.0	g o x ɔ 
goyimu 1.0	g o y i m u 
goyitɔ 1.0	g o y i t ɔ 
goyiyi 1.0	g o y i y i 
gozwe 1.0	g o z w e 
gozani 1.0	g o z a n i 
gozεn 1.0	g o z ε n 
goɖokponɔ 1.0	g o ɖ o k p o n ɔ 
gpl 1.0	g p l 
gu 1.0	g u 
guda 1.0	g u d a 
gudigoda 1.0	g u d i g o d a 
gudlɔn 1.0	g u d l ɔ n 
gudo 1.0	g u d o 
gudogudo 1.0	g u d o g u d o 
gudu 1.0	g u d u 
gudunɔ 1.0	g u d u n ɔ 
guduu 1.0	g u d u u 
gugu 1.0	g u g u 
guiguon 1.0	g u i g u o n 
gulɔ 1.0	g u l ɔ 
gun 1.0	g u n 
gungungun 1.0	g u n g u n g u n 
gunmagan 1.0	g u n m a g a n 
gunmigunmi 1.0	g u n m i g u n m i 
gusi 1.0	g u s i 
guwun 1.0	g u w u n 
guelesi 1.0	g u e l e s i 
gwe 1.0	g w e 
gwlε 1.0	g w l ε 
gwele 1.0	g w e l e 
gwenɔ 1.0	g w e n ɔ 
gyankpa 1.0	g y a n k p a 
ganganhunxotɔ 1.0	g a n g a n h u n x o t ɔ 
ganwunganwun 1.0	g a n w u n g a n w u n 
geleta 1.0	g e l e t a 
gelexwe 1.0	g e l e x w e 
godo 1.0	g o d o 
gogoji 1.0	g o g o j i 
golo 1.0	g o l o 
gudoɔ 1.0	g u d o ɔ 
guni 1.0	g u n i 
gigɔ 1.0	g i g ɔ 
gobu 1.0	g o b u 
goflεmε 1.0	g o f l ε m ε 
gojiblanu 1.0	g o j i b l a n u 
gomεgan 1.0	g o m ε g a n 
goxuxu 1.0	g o x u x u 
gudonu 1.0	g u d o n u 
gufinfɔn 1.0	g u f i n f ɔ n 
gufɔndotojitɔ 1.0	g u f ɔ n d o t o j i t ɔ 
gufɔntɔ 1.0	g u f ɔ n t ɔ 
gugo 1.0	g u g o 
guu 1.0	g u u 
guubaalunu 1.0	g u u b a a l u n u 
guɖutɔ 1.0	g u ɖ u t ɔ 
gɔ 1.0	g ɔ 
gɔa 1.0	g ɔ a 
gɔdɔ 1.0	g ɔ d ɔ 
gɔgu 1.0	g ɔ g u 
gɔgɔ 1.0	g ɔ g ɔ 
gɔgɔgɔ 1.0	g ɔ g ɔ g ɔ 
gɔgɔmεninɔ 1.0	g ɔ g ɔ m ε n i n ɔ 
gɔgɔnɔ 1.0	g ɔ g ɔ n ɔ 
gɔlugɔta 1.0	g ɔ l u g ɔ t a 
gɔlɔ 1.0	g ɔ l ɔ 
gɔn 1.0	g ɔ n 
gɔndɔn 1.0	g ɔ n d ɔ n 
gɔndɔngɔndɔn 1.0	g ɔ n d ɔ n g ɔ n d ɔ n 
gɔngɔn 1.0	g ɔ n g ɔ n 
gɔnu 1.0	g ɔ n u 
gɔtii 1.0	g ɔ t i i 
gɔvu 1.0	g ɔ v u 
gɔɔ 1.0	g ɔ ɔ 
gɔɔn 1.0	g ɔ ɔ n 
gɔɖɔɖɔ 1.0	g ɔ ɖ ɔ ɖ ɔ 
gɔta 1.0	g ɔ t a 
gε 1.0	g ε 
gεn 1.0	g ε n 
gεnkpakpε 1.0	g ε n k p a k p ε 
gεdεgεdε 1.0	g ε d ε g ε d ε 
gεcuu 1.0	g ε c u u 
gεcuunu 1.0	g ε c u u n u 
gεcεmu 1.0	g ε c ε m u 
gεdi 1.0	g ε d i 
gεdε 1.0	g ε d ε 
gεdεε 1.0	g ε d ε ε 
gεdεεnu 1.0	g ε d ε ε n u 
gεgε 1.0	g ε g ε 
gεjεgεjε 1.0	g ε j ε g ε j ε 
gεjεε 1.0	g ε j ε ε 
gεlεmunu 1.0	g ε l ε m u n u 
gεnnu 1.0	g ε n n u 
gεnnyigεnnyi 1.0	g ε n n y i g ε n n y i 
gεnnyii 1.0	g ε n n y i i 
gεnnεtɔni 1.0	g ε n n ε t ɔ n i 
gεtεε 1.0	g ε t ε ε 
gεva 1.0	g ε v a 
gεvanu 1.0	g ε v a n u 
gεvεε 1.0	g ε v ε ε 
gεyin 1.0	g ε y i n 
gεyingεyin 1.0	g ε y i n g ε y i n 
gεzεε 1.0	g ε z ε ε 
gεε 1.0	g ε ε 
gεεcɔmu 1.0	g ε ε c ɔ m u 
gεεcɔni 1.0	g ε ε c ɔ n i 
ha 1.0	h a 
haabona 1.0	h a a b o n a 
haaca 1.0	h a a c a 
haahuu 1.0	h a a h u u 
haahεlεsi 1.0	h a a h ε l ε s i 
haamagedɔni 1.0	h a a m a g e d ɔ n i 
haanεfεε 1.0	h a a n ε f ε ε 
haaxasi 1.0	h a a x a s i 
haaxaya 1.0	h a a x a y a 
habɔɔ 1.0	h a b ɔ ɔ 
hacaviya 1.0	h a c a v i y a 
hacaviyahu 1.0	h a c a v i y a h u 
hacavunεya 1.0	h a c a v u n ε y a 
hacavuna 1.0	h a c a v u n a 
hacibadidana 1.0	h a c i b a d i d a n a 
hacimɔna 1.0	h a c i m ɔ n a 
hacumu 1.0	h a c u m u 
hacuva 1.0	h a c u v a 
hacuvu 1.0	h a c u v u 
hacεmu 1.0	h a c ε m u 
hadaca 1.0	h a d a c a 
hadadi 1.0	h a d a d i 
hadadεzεε 1.0	h a d a d ε z ε ε 
hadasa 1.0	h a d a s a 
hadlayi 1.0	h a d l a y i 
hadolamu 1.0	h a d o l a m u 
hadaa 1.0	h a d a a 
hadidi 1.0	h a d i d i 
hadidinu 1.0	h a d i d i n u 
hafalayimu 1.0	h a f a l a y i m u 
hagedolimu 1.0	h a g e d o l i m u 
hagiti 1.0	h a g i t i 
hagiya 1.0	h a g i y a 
hagli 1.0	h a g l i 
hagaa 1.0	h a g a a 
hagava 1.0	h a g a v a 
hagavu 1.0	h a g a v u 
hagii 1.0	h a g i i 
hahaha 1.0	h a h a h a 
hakaliya 1.0	h a k a l i y a 
hakatani 1.0	h a k a t a n i 
hakeludama 1.0	h a k e l u d a m a 
hakila 1.0	h a k i l a 
hakimɔni 1.0	h a k i m ɔ n i 
hakufa 1.0	h a k u f a 
hakɔsi 1.0	h a k ɔ s i 
hala 1.0	h a l a 
halada 1.0	h a l a d a 
halafa 1.0	h a l a f a 
halani 1.0	h a l a n i 
halaxi 1.0	h a l a x i 
hali 1.0	h a l i 
halifu 1.0	h a l i f u 
halifunu 1.0	h a l i f u n u 
halihuli 1.0	h a l i h u l i 
halimu 1.0	h a l i m u 
halocεtigoyimu 1.0	h a l o c ε t i g o y i m u 
halohεci 1.0	h a l o h ε c i 
haloεnu 1.0	h a l o ε n u 
halumafu 1.0	h a l u m a f u 
halaani 1.0	h a l a a n i 
halaaninu 1.0	h a l a a n i n u 
halaanu 1.0	h a l a a n u 
halumu 1.0	h a l u m u 
halusi 1.0	h a l u s i 
halɔdinu 1.0	h a l ɔ d i n u 
halɔɔnu 1.0	h a l ɔ ɔ n u 
halεfu 1.0	h a l ε f u 
hamu 1.0	h a m u 
hamulani 1.0	h a m u l a n i 
hamumuwεli 1.0	h a m u m u w ε l i 
hamumati 1.0	h a m u m a t i 
hamumɔni 1.0	h a m u m ɔ n i 
hamumɔtidɔɔ 1.0	h a m u m ɔ t i d ɔ ɔ 
hamumεdata 1.0	h a m u m ε d a t a 
hamutalu 1.0	h a m u t a l u 
hamaa 1.0	h a m a a 
hamati 1.0	h a m a t i 
hamatinu 1.0	h a m a t i n u 
hamatisova 1.0	h a m a t i s o v a 
hamulu 1.0	h a m u l u 
hamɔɔ 1.0	h a m ɔ ɔ 
hamɔna 1.0	h a m ɔ n a 
han 1.0	h a n 
hanamεli 1.0	h a n a m ε l i 
hananiya 1.0	h a n a n i y a 
hananiyahu 1.0	h a n a n i y a h u 
hananεli 1.0	h a n a n ε l i 
hanblaji 1.0	h a n b l a j i 
handou 1.0	h a n d o u 
handudo 1.0	h a n d u d o 
hangbe 1.0	h a n g b e 
hanjigbε 1.0	h a n j i g b ε 
hanjigbεgan 1.0	h a n j i g b ε g a n 
hanjiji 1.0	h a n j i j i 
hanjitɔ 1.0	h a n j i t ɔ 
hanjitɔgbεta 1.0	h a n j i t ɔ g b ε t a 
hanjiwema 1.0	h a n j i w e m a 
hankan 1.0	h a n k a n 
hanlan 1.0	h a n l a n 
hanna 1.0	h a n n a 
hannatɔni 1.0	h a n n a t ɔ n i 
hanniyεli 1.0	h a n n i y ε l i 
hannyahannya 1.0	h a n n y a h a n n y a 
hannyɔjitɔ 1.0	h a n n y ɔ j i t ɔ 
hansinon 1.0	h a n s i n o n 
hansinɔ 1.0	h a n s i n ɔ 
hanvi 1.0	h a n v i 
hanvivi 1.0	h a n v i v i 
hanvivijitɔ 1.0	h a n v i v i j i t ɔ 
hanyiyi 1.0	h a n y i y i 
hanzɔ 1.0	h a n z ɔ 
hanani 1.0	h a n a n i 
hanuni 1.0	h a n u n i 
hanɔki 1.0	h a n ɔ k i 
hanεsi 1.0	h a n ε s i 
hapisεsi 1.0	h a p i s ε s i 
hasadiya 1.0	h a s a d i y a 
hasafu 1.0	h a s a f u 
hasasɔnitamaa 1.0	h a s a s ɔ n i t a m a a 
haselɔti 1.0	h a s e l ɔ t i 
haselεlipɔni 1.0	h a s e l ε l i p ɔ n i 
hasenaa 1.0	h a s e n a a 
hasenuwa 1.0	h a s e n u w a 
hasla 1.0	h a s l a 
hasofelεti 1.0	h a s o f e l ε t i 
hasulimu 1.0	h a s u l i m u 
hasaa 1.0	h a s a a 
hasaaadaa 1.0	h a s a a a d a a 
